,Comments,Ratings
26,"
                                I had taken this loan a while back and the experience i had with them was fine and the loan amount which they had provided has been sufficient. The interest rate with them has been competitive and the charges where also nominal withe market. Their customer support has been responsive at times. ","



 0.5
4.0/5 ""Great!""
                            "
27,"
                                The time when i was looking for a Home loan i had applied with HDFC   and my application was taken care. There was  a proper follow up and my application was processed on time. Interest rates are it nominal  with HDFC. The tenure period is 20 year . ..","



 0.5
5.0/5 ""Blown Away!""
                            "
28,"
                                HDFC Limited sanctioned Rs.19 lakhs for 30 years, they have balance transfer, part payment and preclosure. The process was quick with less paper work everything happened in smooth manner, I can track the loan history through netbanking.","



 0.5
4.0/5 ""Great!""
                            "
29,"
                                It has been a good experience i had with this loan where the loan amount which they had provided has been sufficient. The interest rate with them has been pretty nominal and the charges which they had made has been nominal as well. Their customer support has been quite helpful and has been responsive.","



 0.5
5.0/5 ""Blown Away!""
                            "
30,"
                                My home loan experience was good with HDFC LTD, the loan amount was based on my requirement and the rate of interest was nominal when compared to others. Customer service was good and they followed up on time. Tenure period for this loan is for 20 years.
","



 0.5
4.0/5 ""Great!""
                            "
31,"
                                I had taken this loan almost three years back and the process in getting this loan was quite good and there hasn't been any delay in getting this loan. The loan amount was sufficient and the interest rate was also nominal. The processing fee was not too high and their customer support has also been helpful.","



 0.5
5.0/5 ""Blown Away!""
                            "
32,"
                                I have been applied for home loan with HDFC LTD.Their service is good, the loan amount they have given me was sufficient, and the rate of interest they have charged me up to 8.85%, it was nominal,it not be fixed,based on market rate it use to float, and the processing fee they have charged me was nominal, the loan was on time.","



 0.5
4.0/5 ""Great!""
                            "
33,"
                                I took a home loan from HDFC LTD and much convenient with them. Its still ongoing and the loan tenure was 20 years. I have purchased a residential property. There was no processing fee and the rate of interest is currently high when compared to other banks.","



 0.5
4.0/5 ""Great!""
                            "
34,"
                                The experience with HDFC Limited is good, for the process took long time I believe they taken 15 to 20 days, they have too much of documentation, the process should be simple the response is good. Charges are moderate as per other banks, the interest rate is floating as well.","



 0.5
4.0/5 ""Great!""
                            "
35,"
                                My home loan experience was good with HDFC LTD, the loan amount was sufficient and the rate of interest was nominal when compared to others in the market. Customer service was good and they responded on time. Tenure period for this  loan is for 15 years.","



 0.5
5.0/5 ""Blown Away!""
                            "
36,"
                                I took a home loan in HDFC LTD  and its still running. Overall my experience was good but with their customer service which am not fully satisfied. They took longer time to respond where I need to followup many times. They took almost 2.5 months to do the process for changing the interest rate.","



 0.5
3.5/5 ""Pretty good""
                            "
37,"
                                I am not satisfied with HDFC LTD for home loan. The interest rate was okay but the customer service is not up to the mark. They have charged a processing fee which was too high. The loan tenure is 30 years and have completed 2 years. The monthly installment is done through ECS.","



 0.5
1.0/5 ""Really Bad""
                            "
38,"
                                HDFC LTD is good overall and the process is good for the home loan. The customer services and response is good and there are  no issues to get the loan. They processed the loan on time and I am happy with the whole experience. The rate of interest and processing charges are nominal.","



 0.5
5.0/5 ""Blown Away!""
                            "
39,"
                                My home loan is with HDFC LTD. The customer services are good. The process to get the loan is satisfactory. The disbursement also happened on time. The rate of interest is of 8.35% which is on a floating basis. The processing charges are also nominal.","



 0.5
5.0/5 ""Blown Away!""
                            "
40,"
                                My home loan got transfer from HDFC Limited to Bajaj finance, because the customer service should be continued even after disbursed the loan. The service was good before the loan disbursement then there is no communication, they didn't retrieve the customer to make me happy. Its about relationship not about the loan approval. More than five years I part of HDFC there is no information regarding the interest, top up and other offer there is no communication . I would suggest please communicate with the customer in regular interval, at least once in a quarter, the  customer support should call before customer come up with the issue.","



 0.5
1.0/5 ""Really Bad""
                            "
41,"
                                My home loan is with HDFC Ltd and the customer support is fine. They are responsive. They collected the documents and disbursed the loan on time. The rate of interest and processing charges is nominal too. The after loan services are also good and satisfactory.","



 0.5
5.0/5 ""Blown Away!""
                            "
42,"
                                My home loan is with HDFC LTD. I had no hassles to get the loan through. The customer services are good and they are responsive too. The documentation was collected on time and the I had no hassles. The interest rate and processing charges are nominal.","



 0.5
5.0/5 ""Blown Away!""
                            "
43,"
                                I took my home loan from HDFC Ltd, they have provided 15L and have purchased a residential property. I got a lower interest rate from HDFC and the service is good. The loan duration is 17 years. I am paying monthly premium of 15,400 rupees through ECS.","



 0.5
5.0/5 ""Blown Away!""
                            "
44,"
                                Since I'm existing customer of HDFC LTD, i have chosen them. In 2017, I bought my home loan. They have delivered the loan on time. They have charged me a interest rate of 8.47% and total tenure period of the loan is 15 years. Overall, the loan process was good. ","



 0.5
5.0/5 ""Blown Away!""
                            "
45,"
                                I took my home loan from HDFC LTD before 4 years back. The interest rate is nominal and its a good . I like the customer service which was very good. The loan duration is 12 years. I have purchased a residential property. The document process was easy.","



 0.5
5.0/5 ""Blown Away!""
                            "
46,"
                                HDFC LTD is good in the home loan services. The customer support and response is fine and there are no hassles in the process. The disbursement also happened on time. The rate of interest is around 8.70% and the processing charges is nominal too.","



 0.5
5.0/5 ""Blown Away!""
                            "
47,"
                                HDFC Limited quoted the interest rate around 8.7% I need to reverse every six months, their service is nice because of the service I availed the loan. On time they sanctioned the home loan, the charges are not higher same as per the company. They do have balance transfer, part payment and foreclosure.  I would say its very comfortable, they considering the rent agreement, there is no hassle on the documentation. ","



 0.5
5.0/5 ""Blown Away!""
                            "
48,"
                                My home loan is with HDFC LTD. The customer support is good and there are no issues in the process. They are responsive as well. The documents were taken on time and the after loan services are good too. I did not face any difficulty or inconvenience for the disbursement. The rate of interest is also nominal.","



 0.5
5.0/5 ""Blown Away!""
                            "
49,"
                                The process in getting this loan was quite slow and it has taken more time than usual. The loan amount has been okay but i am not happy with the interest rate with them where it was quite high. Even the processing fee was around 45,000 which is very high. They had explained me with the foreclosure charges and i am planning to close this loan within three months.","



 0.5
1.0/5 ""Really Bad""
                            "
50,"
                                I had chosen to go with them since the services of them is good and the process in getting this loan has been good. The loan amount has been sufficient but the interest rate with them has been a little high when compared with the market rate. There has not been any help from the manager and there has not been any quick response which they had made.","



 0.5
4.0/5 ""Great!""
                            "
51,"
                                My housing loan has been taken with Hdfc LTD  where they have given good rate of interest   but they have charged quiet high for processing fees for approval and documentation of rs 15000 . They took overall 20 days for the processing , and they are little bit slow in processing as they take quiet high time for the process and response . ","



 0.5
3.0/5 ""Satisfactory""
                            "
52,"
                                It was a great experience i had with this loan where the process in getting this loan was so quick where it took about ten days in getting the loan amount. The interest rate with them has been nominal and there was an offer going on during that time where the processing fee has been waved off. There has not been any sort of other charges and the customer support was helpful as well.","



 0.5
5.0/5 ""Blown Away!""
                            "
53,"
                                My home loan is with HDFC LTD. The process to get the loan was smooth. The documents was taken on time and the disbursement happened on time too. Though the rate of interest was on the higher side. It was as per the market. The processing charges are normal too.","



 0.5
4.5/5 ""Excellent!""
                            "
54,"
                                I have been holding my home loan with HDFC LTD for an while, and the loan amount they have given me is sufficient, and the rate of interest they charged me up to 8.9% was nominal, they have charged genuine rate of interest like how much they said they have charged me , the processing fee it is nominal, their was no hidden charges .","



 0.5
4.0/5 ""Great!""
                            "
55,"
                                
It was a fine experience with HDFC ltd for home  loan. Customer service was good and they responded on time. Rate of interest was nominal i never compared with other bank .  Loan amount is satisfactory and the tenure period was for 5 year . I received my loan amount within a few days. ","



 0.5
5.0/5 ""Blown Away!""
                            "
56,"
                                I have purchased a home loan 1 year back. I have chosen the HDFC because of the customer satisfaction and lower interest rate. The branch is located nearby my location hence i have visited the branch several times and the response was fine. They have sanctioned the loan on time.","



 0.5
4.0/5 ""Great!""
                            "
57,"
                                I had chosen to go with them since the interest rate with them has been less when compared with the market rate. The process in getting this loan has been a little lengthy and had taken more time to complete. The commitment made was not fulfilled, where the interest rate was 0.1% higher than which was offered. The loan amount has been sufficient and their customer support was responsive.","



 0.5
4.0/5 ""Great!""
                            "
58,"
                                I have directly applied the home loan from HDFC in their branch and the employee response was good and they are very co-operative than helpful in nature. The loan experience was good. Total tenure period of the loan is 20 years. The interest rates and processing fee was convenient one.","



 0.5
4.0/5 ""Great!""
                            "
59,"
                                HDFC LTD they have a customer care service to some third party and they were not responsive to give  a proper reply. I have sent a mail also and they were not responding. That was the only option available for my eligibility in the home loan department and the interest rates are also very less and i got a good deal from them.","



 0.5
4.0/5 ""Great!""
                            "
60,"
                                I'm not satisfied with the Home loan  services. The problem was with the person who collected the documents. They have processed the loan very late. The guy was not picking up the call for any updation. There was some processing fee and they have sanctioned the loan was on time. Customer care service response was good. ","



 0.5
3.0/5 ""Satisfactory""
                            "
61,"
                                Earlier they were offered me a lower interest rate and They have increase it without any prior intimation. The loan got sanctioned on time. There was some processing fee and the same has been deducted from the sanctioned loan amount. The banking people were good when i approach for the home loan. Later they have confirmed the tenure period which is minimum of 8 years.","



 0.5
4.0/5 ""Great!""
                            "
62,"
                                There is no specific reason for choosing the HDFC. They have provided me a interest rate of 8 % approximately and I'm happy about it. They have charged me a processing fee of Rs. 5000. The response was nice from HDFC end when i approach for the home loan. Total tenure period of the loan is 26 years.","



 0.5
5.0/5 ""Blown Away!""
                            "
63,"
                                I have got a reference from my friend thats the reason i have selected the loan from HDFC. They have sanctioned the loan on time. The interest rate was okay and the processing fee was nominal when i compared to others. The employees are co-operative and they have supported me very well.","



 0.5
5.0/5 ""Blown Away!""
                            "
64,"
                                They have provided me a least interest rates whatever available in the market. There was a main reason for choosing the HDFC is the lowest interest rates. The Loan got disbursed on November. There was a processing fee was nominal compared to others. HDFC home loan services was good. The process time was very high which is inconvenient to the customer.","



 0.5
5.0/5 ""Blown Away!""
                            "
65,"
                                For Pradhan mandhri Yogana benefits were given through HDFC hence i have chosen them. Within 45 days, they have sanctioned the loan. The given the interest rates were upto the mark and it was as per the market rates. Processing fee was nil and i paid the Rs. 2500 for legal charges. I have chosen the tenure period for 20 years. The documentation process was fine.","



 0.5
4.5/5 ""Excellent!""
                            "
66,"
                                According to my eligibility, HDFC has provided me a home loan. They have given me interest rate of 8.75% and i'm happy about it. They have charged me a processing fee of Rs. 10000. I have purchased the loan amount of Rs. 16 lakhs and they have taken 1 month to sanctioned the loan. I have chosen the tenure period for 11 years.","



 0.5
5.0/5 ""Blown Away!""
                            "
67,"
                                I had taken this loan a long time back and the experience with this loan was quite good. The process had went well and the loan amount which they had provided was sufficient and the interest rate with them was nominal with the market rate. Their customer support was also helpful in completing the process.","



 0.5
5.0/5 ""Blown Away!""
                            "
68,"
                                Processing fee was explained was 0.50% and they have mentioned in the website. They are charging some hidden charges. They have delayed the loan for 2 months. I have applied the loan amount of Rs. 26 lakhs and they have approved the loan amount of Rs. 21 lakhs. There is no proper follow up in the customer care process. ","



 0.5
3.0/5 ""Satisfactory""
                            "
69,"
                                I had chosen to go with them since it has been a good institution  and the services are good with them. The process in getting this loan was good and the loan amount which they had provided has been sufficient and satisfied the needs. The interest rate with them has been nominal and the processing fee was not too high. Their customer support has also been helpful too.","



 0.5
5.0/5 ""Blown Away!""
                            "
70,"
                                It was a good experience when it comes to  home loan from HDFC LTD, the rate of interest was high when compared to other banks but i am fine with that . Loan amount was for Rs 3.8 lakhs initially they said they will give 90% of property value but later i got only 80% of property value so i got disappointed .  Customer service was good and the documents were collected on time,.
","



 0.5
4.0/5 ""Great!""
                            "
71,"
                                I had chosen to go with them since the interest rate which the where offering was less when compared with the other banks and the actual value of the loan amount was also good. The process in getting this loan was very and i did not had to visit the branch. The processing fee with them was also nominal and their customer support also was helpful in collecting the documents on time.","



 0.5
5.0/5 ""Blown Away!""
                            "
72,"
                                I am holding HDFC LTD for home loan , the tenure period is 20 year and i am happy with that . The loan amount is much more satisfactory it is 13.9lakh . The documentation happen on time the executive came to our home . Initially the rate of interest is 8.80% but later they charge 8.90%. ","



 0.5
4.0/5 ""Great!""
                            "
73,"
                                I had chosen to go with them since i had seen some reviews about them and i had checked with couple of my friends. The process in getting this loan was fine and the loan amount which they had provided has been sufficient. The interest rate was similar to the other banks in the market. But the processing fee was quite high when compared with the market.","



 0.5
3.5/5 ""Pretty good""
                            "
74,"
                                For the fast process from HDFC people thats the reason i have chosen the HDFC. They have sanctioned the loan as per the promised time. The interest rate was good and as per the Government norms they have charged the processing fee. They have given me a tenure period as per my wish. They have closed the file when i apply for the loan for the first time and i received the call from HDFC people. I tried to contact the customer care and i requested them for a call back after that issue got resolved smoothly.","



 0.5
4.0/5 ""Great!""
                            "
75,"
                                I have been holding my home loan with HDFC LTD recently. Their service is good, the loan amount they have given me was sufficient, the rate of interest they have charged me was up to 8% which is nominal, and i even processing fee compare to other bank it is nominal, overall service was good, they have not taken any hidden charges apart from that.The loan was on time.","



 0.5
4.0/5 ""Great!""
                            "
76,"
                                I have a salaried account with HDFC thats the reason i have chosen them. It was 8.65% they have offered me as a interest rate and the processing fee of Rs. 59,900. There was some delay in sanctioning the loan. It delayed almost 2 months after submission of the documents and approval delayed by a month. ","



 0.5
3.0/5 ""Satisfactory""
                            "
77,"
                                My home loan was taken with HDFC LTD . I am happy with the customer service they are very helpful and i get my query solved on time . The tenure period is 12 year and it is fair enough and i got the option also of preclosere . Loan amount is satisfactory and services is up to the mark .  
","



 0.5
5.0/5 ""Blown Away!""
                            "
78,"
                                I got my home loan with HDFC LTD , the tenure period is 240 month and it is fair enough . I am happy with the service of HDFC the customer executive come to my place to collect the document and it was very easy process to get the loan. Only in one place i got disappointed that is they charge me for documentation 6000 rs it should be given by HDFC . ","



 0.5
4.0/5 ""Great!""
                            "
79,"
                                Since they are providing the lowest interest rate, i have chosen the HDFC LTD. They have almost delayed  the loan for 2 months. I have reported to the bank regarding the delay but there is a lack of delay in the knowledge of the people. HDFC process was not upto the mark. They have not followed the process in a perfect sequence. There are no proper guidance from the employee working in HDFC LTD. ","



 0.5
3.0/5 ""Satisfactory""
                            "
80,"
                                My home loan was taken with HDFC ltd . The charges are very high with this bank and the rate of interest is not same what they said before. While getting the loan process was smooth but there was two days delay in getting the loan i was expecting early . The tenure period is 20 years. 
","



 0.5
4.0/5 ""Great!""
                            "
81,"
                                When i upload the documents, they have told me the charges are 2,500 but they charged me around of rs. 12000. There is no specific reason for choosing the HDFC. The interest rate offered me was 8.85%. They have sanctioned the loan immediately. I have chosen the tenure period for 15 years. ","



 0.5
4.0/5 ""Great!""
                            "
82,"
                                I have been holding my home loan with HDFC LTD. Their service is Average, the loan amount they have given me was sufficient, the rate of interest they have charged me up to 8.9% was nominal and i even processing fee compare to other bank i felt bit high, overall service was good, they have not taken any hidden charges apart from that.The loan was on time.","



 0.5
4.0/5 ""Great!""
                            "
83,"
                                I chosen the HDFC because I'm using the bank account for since 7 years. They have provided me a interest rate of 9% at the last moment but they have promised me at 8.75%. I told the customer care and they said its already done and we cannot able to change the same. It take around 2 weeks to receive the loan.","



 0.5
4.0/5 ""Great!""
                            "
84,"
                                I have been applied for my home loan with HDFC LTD, the loan amount they are given me in installment type, like the loan got approval up to 15,00,000 but they are giving me loan 3,00,000 in part every time, and the rate of interest they have charged me up to 11% it is high compare to other bank,the loan process is good.","



 0.5
4.0/5 ""Great!""
                            "
85,"
                                I have been applied for home loan with HDFC LTD, Their service is good, the loan amount they have given me was sufficient, and the rate of interest they have charged me while applying was 8.75% but after one month it increase it up to 9.25%, it was high compare to other bank, and the processing fee they have charged me was nominal, the loan was on time.","



 0.5
4.0/5 ""Great!""
                            "
86,"
                                I have been using the salary account with HDFC hence i have opted the same bank. They have given me a promised interest rate of 8.75% and there was a processing fee around Rs. 12000. They have sanctioned the loan on time and the documentation process was simple. Total tenure period  of the loan is 10 years.","



 0.5
4.0/5 ""Great!""
                            "
87,"
                                I have a purchased a home loan from HDFC LTD. The  process is very simple when i  have purchased from them. I bought the loan amount and it is very satisfactory .  The processing fee is very nominal . I have chosen the tenure period of 24 years. The rate of interest is high initially they said something and later they gave 8.85% . 
","



 0.5
4.0/5 ""Great!""
                            "
88,"
                                Interest rates are comparatively down hence i have opted for HDFC home loan. They have delayed the loan for 1 month. The processing fee was zero. Total tenure period of the loan is 18 years. They have given me a interest rate of 9%. I have submitted all the required documents. ","



 0.5
4.0/5 ""Great!""
                            "
89,"
                                They have told me spot approval but they have sanctioned the loan after 100 days. The process of getting the loan is good. They have offered me a interest rate of 8.85%. They have charged me a processed fee of Rs. 6500. I have chosen the tenure period of 30 years. ","



 0.5
3.5/5 ""Pretty good""
                            "
90,"
                                I have seen the interest provided by HDFC  ltd when compared with others hence because of the lower interest rates i have chosen the same. They have sanctioned the loan on time. The processing fee and interest rates are moderate one. I have no issue with the documentation process.","



 0.5
4.5/5 ""Excellent!""
                            "
91,"
                                I have taken my home loan with HDFC LTD, the reason of giving 3 stars to them is the documentation part is very tough they keep on asking me so many documents which is too much difficult for me . Even customer support is not so good . At last branch manager helped me to solve my all queries . Rate of interest was very nominal.

","



 0.5
3.0/5 ""Satisfactory""
                            "
92,"
                                I have purchased my home loan from HDFC and there is no specific loan. I just want to switch over to other bank.  They have offered me a better benefits compared to others. I have received the loan on time. The offered interest rates are satisfied one. There are no hidden charges deducted so far. ","



 0.5
3.0/5 ""Satisfactory""
                            "
93,"
                                It was  a good experience with HDFC ltd for home loan . The interest rate with them has been good when compared with the market rate. The charges which they had made has been nominal and the loan amount is 25lkah which they had provided has been sufficient. Their customer support has also been helpful as well.

","



 0.5
5.0/5 ""Blown Away!""
                            "
94,"
                                I have taken my home loan with HDFC LTD, the service was good with this bank while getting the loan. They charge nominal  rate of interest and tenure period is sufficient  . The processing fee is nominal with this bank and i receive  this loan. Loan amount is 13.5lakh and it is sufficient . 
","



 0.5
5.0/5 ""Blown Away!""
                            "
95,"
                                I took a home loan for 22.5Lacs from the HDFC ltd. I pay an EMI of 17862 per month. The interest rate is nominal which is 8.85% . There were also processing charges. Overall it has been a smooth loan experience with the HDFC bank. Nothing extra ordinary service is there it is same like other banks . ","



 0.5
4.0/5 ""Great!""
                            "
96,"
                                I have been using my home loan with HDFC LTD, there service is not up to the mark, it is too lengthly process and even there service is not that good,and there loan amount they have given me was not sufficient,they have given me just 21,00,000 it too low, and the rate of interest they have charged me up to 13 % was high, the processing fee they have charged me was nominal, they have charged me up to 1% it is nominal.Thinking to do balance transfer to other bank.","



 0.5
3.0/5 ""Satisfactory""
                            "
97,"
                                I have taken my home loan from HDFC LTD through online portal. The customer service is good. The rate of interest is okay. The loan tenure is 15 years and it is sufficient to me . The documents are collected by the executive.Overall it has been good experience with HDFC LTD. 
","



 0.5
4.0/5 ""Great!""
                            "
98,"
                                I've taken a home loan from the HDFC LTD for an amount of  32 Lacs, the Interest rate was very nominal 8.8% .The processing fee was 10000 initially they say there was no fee but later they charged . Customer service was good i am happy with them . Overall it has been good experience  with HDFC LTD.
","



 0.5
3.0/5 ""Satisfactory""
                            "
99,"
                                 I have been a long time customer.Their loan processing and documentation is efficient but the home loan interest rates are always on a higher side and even for a long time customer they are very rigid to reduce. The customer care is ok but not very helpful.","



 0.5
3.0/5 ""Satisfactory""
                            "
100,"
                                I had taken this loan almost 15 years back and it had been a very good experience i had with them. They had completed the process well and the loan amount has been sufficient. The interest rate with them was 7.5% at that time and there has not been any sort of additional charges which they had made.","



 0.5
5.0/5 ""Blown Away!""
                            "
101,"
                                The process in getting this loan was lengthy and there has a lot of documents which they had asked, but the customer executive Mr. Raj Kumar has been very much helpful and has made a bridge between me and the bank, and i suggests that their services should be improved a lot. The loan amount was sufficient and the interest rate with them was nominal which was around 9.10%.","



 0.5
3.0/5 ""Satisfactory""
                            "
102,"
                                I took a home loan for 19 Lakhs from the ltd . The whole application process and documentation was carried out at their branch.  I got the loan with in few days. Documentations was also at the branch. Interest rate is very nominal and they gave preclosure options also . ","



 0.5
4.0/5 ""Great!""
                            "
103,"
                                The loan amount which they had provided has been sufficient and the interest rate with them has been nominal as well. There has not been any sort of additional charges which they had made so far. I have taken my home  loan through HDFC LTD . They provide 31,60000 of loan amount and 20 years of tenure period . Only there was delay in getting loan . 


","



 0.5
4.0/5 ""Great!""
                            "
104,"
                                I have taken my home loan with HDFC LTD . The experience i had with them has been quite good and the loan amount which they had provided has been satisfactory as well it is 40.6lakh . They charge very high processing fee but after i spoke to their representative they gave me discount . ","



 0.5
5.0/5 ""Blown Away!""
                            "
105,"
                                I had chosen to go with them since the interest rate with them has been less when compared with the market rate. The services which they had provided has been good and the loan amount which they had provided has been sufficient as well. The processing fee which they had charged has been nominal and their customer support has also been helpful.","



 0.5
5.0/5 ""Blown Away!""
                            "
106,"
                                I took a home loan from the HDFC ltd,  The processing fee was very high they took 30000 rs and rate of interest is 8.80% I am happy with services , only there was 20 days delay in getting the loan . The loan amount was satisfactory it is 25lakh . Overall it is good experience with this HDFC LTD  . 
","



 0.5
3.0/5 ""Satisfactory""
                            "
107,"
                                I had chosen to go with them since my Salary account was with them. The process in getting this loan was good and the loan amount which they had provided has been sufficient and the interest rate with them has been nominal. There has not been any sort of charges which they had made and their customer support has also been helpful.","



 0.5
5.0/5 ""Blown Away!""
                            "
108,"
                                My home loan was taken with HDFC  ltd, i face lot of issue they have not done their work on time . The tenure period is 6 years and it is sufficient . As per customer executive said the complete approval will be done in 10 working days but it took 25 days to get the loan . I complaint about that but they said it is in progress i have to wait they are keep on saying the same thing . ","



 0.5
5.0/5 ""Blown Away!""
                            "
